id,Star_names,Radius,Mass,Distance
0,Sun,1,1,0.000015813
1,Sirius,1.71,2.1,0008.6
2,Canopus,71,15,0310
3,Alpha Centauri,1.2,1.1,0004.4
4,Arcturus,26,1.1,0037
5,Vega,2.7,2.2,0025
6,Capella,12,2.6,0043
7,Rigel,78.9,23,0860
8,Procyon,1.9,1.5,0011.4
9,Betelgeuse,950,20,0640[1]
10,Achernar,9.3,6.7,0144
11,Hadar,8.6,10.5,0390
12,Altair,1.8,1.8,0017
13,Acrux,8.9,18,0320
14,Aldebaran,44,1.5,0065
15,Antares,680,12,0600
16,Spica,7.47,11.43,0260
17,Pollux,8.8,1.9,0034
18,Fomalhaut,1.8,1.9,0025
19,Deneb,203,19,"2,600"
20,Mimosa,8.4,16,0350
21,Regulus,3.1,3.8,0077
22,Adhara,14,12.5,0430
23,Shaula,8.8,14.5,0700
24,Castor,2.4,2.8,0052
25,Gacrux,84,1.5,0088
26,Bellatrix,5.8,8.6,0240
27,Elnath,4.2,5.0,0130
28,Miaplacidus,6.8,3.5,0110
29,Alnilam,42,32,"2,000"
30,Gamma Velorum,6,9.0,"01,100"
31,Alnair,3.4,4.0,0101
32,Alioth,4.2,2.9,0081
33,Alnitak,20,33,01050
34,Dubhe,30,4.25,0120
35,Mirfak,68,8.5,0590
36,Wezen,200,17,"1,600"
37,Sargas,26,5.7,0270
38,Kaus Australis,6.8,3.5,0140
39,Avior,130,9.0,0630
40,Alkaid,3.4,6.1,0104
41,Menkalinan,2.77,2.39,081
42,Atria,92,7,0390
43,Alhena,3.3,2.8,0109
44,Peacock,4.8,5.9,0180
45,Alsephina[2],2.9,2.4,0080
46,Mirzam,10,13.5,0500
47,Polaris,39,5.4,0430
48,Alphard,50,3.0,0180
49,Mintaka,16.5,24,01200
50,Scheat,95,2.1,0196
51,Almaaz,140,15,0653
52,Rasalgethi,280,2.8,0360
53,Tau Ceti,0.893,0.783,011.9
54,Delta Pavonis,1.22,0.991,019.92
55,Ran,0.74,0.82,010.48
56,V382 Carinae,485,20,"08,900"
57,Eta Carinae,60 - 881,100,"07,500"
58,Delta Cephei,44.5,4.5,0887
59,Mu Cephei,972,19.2,"06,000"
60,Titawin,1.48,1.27,044.25
61,Rho Cassiopeiae,636-981,22,"08,154"
62,P Cygni,76,30,"05,545"
63,La Superba,129 - 342,,"01,000"
64,VV Cephei,"516 - 1,050",18.2,"04,900"
65,61 Cygni,0.665,0.7,011.41
66,R Doradus,298,0.7 - 1.0,0178
67,Polaris Australis,3.74,1.59,0281
68,R Coronae Borealis,85,0.85,"04,566"
69,54 Piscium,0.94,0.76,036.1
70,Mira,370,1.2,0300
71,RW Cephei,"1,158",13.9,"014,000"
72,Lacaille 8760,0.51,0.6,012.87
73,V838 Monocerotis,380 - 750,?,"019,896"
74,HD 140283,2.04,0.81,0202
75,II Pegasi,3.4,0.8,0130
76,VY Canis Majoris,"1,420",17,"03,900"
77,Pistol Star,320,100,"025,000"
78,S Doradus,380,24,"0169,000"
79,UY Scuti,755,7 - 10,"05,100"
80,Barnard's Star,0.20,0.14,05.98
81,HE 1523-0901,27,0.80,"010,000"
82,Proxima Centauri,0.15,0.12,04.25
83,KIC 8462852,1.58,1.43,"01,470"
84,R136a1,32,290,"0163,000"
85,Melnick 42,21.1,189,"0163,000"
86,WR 102,0.39,19,"018,134"
87,VFTS 352,14.47,57.48,"0164,000"
88,YBP 1194,0.99,1.01,"02,772"
89,Gliese 1214,0.21,0.16,047.5
90,Luhman 16,?,0.03 + 0.03,06.50
91,NML Cygni,"1,640 - 2,770",50,"05,251"
92,VB 10,0.10,0.075,018.72
93,WOH G64,"1,540 - 1,730",<20,"0163,000"
94,TRAPPIST-1,0.12,0.089,039.6
95,2MASS J0523-1403,0.086,0.07,040.3
96,WISE 0855âˆ’0714,?,0.003,07.27
97,Icarus,?,33,"014,400,000,000"
